episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
139, 	18.6310, 	-5.9447, 	-7.7491, 	1.8097, 	5.2962
140, 	20.0915, 	-6.8456, 	-9.4752, 	2.6349, 	5.2802
141, 	23.4975, 	-6.5454, 	-8.9009, 	2.3608, 	5.2660
142, 	23.0175, 	-7.8617, 	-11.4656, 	3.6092, 	5.2631
143, 	17.7775, 	-5.3338, 	-6.7555, 	1.4269, 	5.2682
144, 	20.3375, 	-7.8531, 	-10.9534, 	3.1055, 	5.2567
145, 	15.0255, 	-5.3505, 	-7.0597, 	1.7145, 	5.2502
146, 	10.7385, 	-4.9380, 	-5.8747, 	0.9419, 	5.2470
147, 	11.0580, 	-3.7795, 	-4.3590, 	0.5847, 	5.2511
148, 	11.6910, 	-3.5963, 	-4.3222, 	0.7311, 	5.2475
149, 	11.4985, 	-4.6024, 	-5.5896, 	0.9924, 	5.2459
150, 	14.8665, 	-5.2075, 	-6.2664, 	1.0641, 	5.2413
151, 	12.5305, 	-5.0300, 	-6.3046, 	1.2799, 	5.2355
